CO_HEI;HEI;Ownership;STUDENTS;ST_RESEARCH_GRANT;ST_COMPLETING;PUB_SC;PATENTS_UM;ST_DROPOUT;FACULTY;AGE;PHD;MA;PRES;GRAD;RESEARCH;FTE;FTNE;PART;HOUR;TEC;TEC_SUP;TEC_SPEC;TEC_MA;TEC_PHD;PORTAL_CAPES;VIRT_JOURNAL;VIRT_BOOK;VL_RECEITA_PROPRIA;VL_RECEITA_TRANSFERENCIA;VL_RECEITA_OUTRA;VL_RECEITA_TOTAL;VL_DESPESA_PESSOAL_DOCENTE;VL_DESPESA_PESSOAL_TECNICO;VL_DESPESA_PESSOAL_ENCARGO;VL_DESPESA_CUSTEIO;VL_DESPESA_INVESTIMENTO;VL_DESPESA_PESQUISA;VL_DESPESA_OUTRA;VL_DESPESA_TOTAL
1559;UNESC;Private;4871;2;649;0;0;650;248;41,1;39;108;248;0;14;0;55;57;136;255;42;17;2;1;0;586;8700;93800258,63;0;4813238,85;98613497,48;22543926,82;9215557,28;23709224,92;39970109,38;1684601,75;152407,33;0;97275827,48
1575;UNIARAXÁ;Private;3313;67;458;1;0;400;137;43,2;26;59;116;0;30;0;34;67;36;123;43;37;1;0;1;2534;16988;27877203,45;740893,84;3278588,79;31896686,08;6482737,35;2762431,47;3939577,2;7803523,12;2557227,82;398495,62;7952693,5;31896686,08
1723;STRONG;Private;1052;0;82;0;0;115;52;47,4;25;24;52;0;2;2;6;13;31;9;4;0;1;0;0;950;12000;12288661,43;0;146794,47;12435455,9;3263179,08;1460285,58;1988801,97;2321123,2;0;0;2865622,99;11899012,82
1765;FJB;Private;155;0;15;0;0;140;6;42,5;2;3;6;0;0;0;1;4;1;8;2;1;0;0;1;22203;9145;258247286;0;2720403,15;260967689,2;3845387,9;508903,23;3405153,75;80393344,1;0;0;131809568;219962357
1766;UNICAPE;Private;361;0;89;0;0;88;16;50,2;4;10;16;0;0;0;4;12;0;15;5;0;0;1;0;10;9556;3260465;0;681432;3941897;844303;276822;839028;1082476;60000;65000;72833;3240462
1808;IFES;Public;6865;172;438;23;7;952;996;41,7;433;489;886;118;321;819;111;9;0;1082;138;571;204;24;1;76;129;2856409,39;17497204,55;0;20353613,94;379378897,2;0;26223595,18;82737780,72;9498640,47;1181297,8;0;499020211,4
1810;IFSP;Public;10172;248;436;5;0;2504;2210;42,4;987;989;1953;316;608;1517;414;22;0;1837;510;787;261;45;1;1;6300;2503679,96;1019726380;26313230,5;1048543290;364734891,6;181578606;48081633,39;365153882,1;40289416,86;249127,03;58131322,41;1058218879
1836;UNIFEOB;Private;4807;0;1063;1;0;272;207;43;34;107;172;9;9;0;39;104;55;143;47;13;7;2;0;100;15535;51593548,69;0;2276360,44;53869909,13;8945718,73;8467111,15;11778100,66;28906960,12;4911902,61;0;0;63009793,27
1841;TOLEDO PRUDENTE;Private;3247;30;401;0;0;421;122;42,8;23;65;121;1;2;0;37;84;0;94;27;28;4;0;0;35;8061;33175681,89;0;2326590,72;35502272,61;7933966,31;4230725,14;7927333,93;10536972,28;2045946,44;351013,08;1723312,33;34749269,51
1878;FEI;Private;8894;0;1045;3;0;797;354;54,2;221;101;351;55;83;0;81;7;263;329;126;54;1;1;1;457;142;130443644,7;0;51821684,34;182265329;54340618,17;17301069,47;34686844,51;44588087,8;7715623,89;1004349,7;182090,64;159818684,2
1921;FSB;Private;354;0;17;1;0;120;28;56,8;20;8;25;1;1;0;7;6;14;11;3;0;0;0;1;0;24;1740432,91;650000;10247;2400679,91;1080325,6;330247,8;612228,8;208176,18;113321,15;75234,4;13321,15;2432855,08
1923;FACULDADE ARNALDO JANSSEN;Private;464;0;60;0;0;71;40;41,9;5;26;39;0;0;0;4;5;31;50;10;6;7;1;0;90;0;3495801,31;0;193017,32;3688818,63;1829657,45;512302,91;161159,12;1427047,27;0;0;0;3930166,75
1926;FACULDADE DE ADMINISTRAÇÃO DE CATAGUASES;Private;74;0;1;0;0;20;9;40;3;1;9;0;8;1;0;8;0;7;2;2;2;0;0;0;0;541542;0;323129,89;864671,89;122146,84;221685,84;100326,13;0;0;0;417876,55;862035,36
